src_selfies,tgt_selfies,src_qed,tgt_qed,src_smiles,tgt_smiles,pair_similarity
[C][O][C][C@H1][C][N][Branch2][Ring1][C][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][Branch2][F][C][C][O][Ring1][P],[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C][O][C@H1][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][Ring1][#Branch2][NH1][N][=Ring1][P],0.8359897838771349,0.9186367371716405,COC[C@H]1CN(C(=O)c2cccc(OC)c2F)CCO1,COc1ccccc1-c1cc(C(=O)N2CCO[C@H](C(F)(F)F)C2)[nH]n1,0.4
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][/C][=C][/C][=Branch1][C][=O][N][C][C][C][C@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][N],[C][O][C][=C][C][=C][Branch2][Ring1][=Branch2][N][C][=Branch1][C][=O][C][=Branch1][C][=O][N][C][C][C][C@H1][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][=Branch1][O][C],0.7930463227666736,0.8572995016515604,COc1ccccc1/C=C/C(=O)N1CCC[C@H](c2ccccc2)C1,COc1ccc(NC(=O)C(=O)N2CCC[C@H]2c2ccccc2)cc1OC,0.36363636363636365
[O][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C@H1][C][C][N][Branch2][Ring1][C][C][=Branch1][C][=O][C][=C][C][=C][S][N][=C][C][Ring1][Branch1][=C][Ring1][=Branch2][C][Ring1][S],[C][O][C][=C][C][=C][Branch2][Ring1][=Branch2][N][C][C@H1][Branch1][#C][N][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#C][=O][C][=C][Ring2][Ring1][=Branch1],0.7465902583386815,0.9076223041226057,O=C(Nc1ccccc1)N[C@H]1CCN(C(=O)c2ccc3sncc3c2)C1,COc1ccc(N2C[C@H](NC(=O)Nc3ccccc3)CC2=O)cc1,0.39705882352941174
[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C][C][C@@H1][Branch1][C][C][C@H1][Branch1][C][O][C][Ring1][Branch2][C][=C][Ring1][S],[C][O][C][=C][C][=C][C][Branch2][Ring1][=Branch2][C][=C][N][Ring1][Branch1][C][C][=Branch1][C][=O][N][C][C][C@@H1][Branch1][C][C][C@H1][Branch1][C][O][C][Ring1][Branch2][=C][Ring2][Ring1][Ring2],0.827832975085382,0.9416375725722148,COC(=O)c1ccc(C(=O)N2CC[C@@H](C)[C@H](O)C2)cc1,COc1ccc2c(ccn2CC(=O)N2CC[C@@H](C)[C@H](O)C2)c1,0.42857142857142855
[C][C][=C][C][=C][C][Branch2][Ring2][#Branch2][N][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][S][C][=Ring1][O][C][=Branch1][C][=O][N][C][C][=C][C][=C][O][Ring1][Branch1][=C][Ring2][Ring1][#C],[C][C][=C][C][=C][Branch2][Ring1][Branch2][N][C][=N][C][Branch1][=C][C][=Branch1][C][=O][N][C][C][=C][C][=C][O][Ring1][Branch1][=C][S][Ring1][=C][C][=C][Ring2][Ring1][Branch1],0.4123201279131339,0.7531471770370107,Cc1cccc(N(C)S(=O)(=O)c2c(-c3ccccc3)csc2C(=O)NCc2ccco2)c1,Cc1ccc(Nc2nc(C(=O)NCc3ccco3)cs2)cc1,0.4189189189189189
[C][C][=C][S][C][=C][Ring1][Branch1][C][=Branch1][C][=O][C@H1][C][C][O][C][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C][Ring1][#Branch2],[O][=C][Branch1][#Branch2][C][C][=C][C][=N][C][=C][Ring1][=Branch1][C@H1][C][C][O][C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C][Ring1][O],0.7552469088923598,0.8477234743667446,Cc1cscc1C(=O)[C@H]1CCOC2(CCCC2)C1,O=C(Cc1ccncc1)[C@H]1CCOC2(CCCCC2)C1,0.4444444444444444
[C][=C][Branch1][C][Br][C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][N][C@@][Branch1][P][C][C@H1][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][Ring1][=Branch2][C][Ring1][=C][=O],[C][C@@H1][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][Ring1][Branch2][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],0.7271670069847224,0.8299561286231404,C=C(Br)CNC(=O)CN1C(=O)N[C@@]2(C[C@H](C)CC(C)(C)C2)C1=O,C[C@@H](NC(=O)CN1C(=O)NC(C)(C)C1=O)c1ccccc1Cl,0.36363636363636365
[C][O][C][=C][C][=C][Branch2][Ring2][Ring1][N][C][C][N][Branch2][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][Branch1][C][C][NH1][C][=Branch1][C][=O][NH1][C][Ring1][Branch2][=O][C][C][Ring2][Ring1][C][C][=C][Ring2][Ring1][Branch2],[C][O][C][=C][C][=C][Branch2][Ring1][N][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][N][Branch1][O][C][=Branch1][C][=O][C@@H1][C][C@H1][Ring1][Ring1][C][C][C][Ring1][N][C][=C][Ring2][Ring1][Branch1],0.7647774375438215,0.8268645631691374,COc1ccc(N2CCN(S(=O)(=O)c3c(C)[nH]c(=O)[nH]c3=O)CC2)cc1,COc1ccc(S(=O)(=O)N2CCN(C(=O)[C@@H]3C[C@H]3C)CC2)cc1,0.38596491228070173
[C][O][C][=C][C][=C][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][Ring1],[C][O][C][=C][C][=C][Branch2][Ring1][Ring1][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][C][=C][Ring2][Ring1][C],0.8558354297491864,0.9196063171254968,COc1ccc(C(=O)NNC(=O)c2cccc(Cl)c2)cc1,COc1ccc(CC(=O)Nc2ccc(Cl)cc2Cl)cc1,0.40816326530612246
[C][C][O][C][=C][C][=C][Branch2][Ring1][Ring1][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring2][O][C],[C][O][C][=C][C][=C][Branch2][Ring1][Branch1][C][NH1+1][C][C][N][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][Ring1][=N][C][=C][Ring2][Ring1][Ring2][O][C],0.8335538892456527,0.9086212539301509,CCOc1ccc(NCc2ccccc2N2CCOCC2)cc1OC,COc1ccc(C[NH+]2CCN(c3ccccc3C)CC2)cc1OC,0.359375
[O][=C][O][C][C][N][Ring1][Branch1][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][Branch1][Branch2][C][C][C][C][C][Ring1][Ring2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring2],[C][C][Branch1][C][C][C@@H1][C][C][C@@H1][Branch1][C][C][C][C@H1][Ring1][#Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][N][C][C][O][C][Ring1][Branch1][=O][C][=C][Ring1][N],0.8159675158472945,0.902808170366589,O=C1OCCN1c1ccc(C(=O)N(CC2CCC2)c2ccccc2)cc1,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1NC(=O)c1ccc(N2CCOC2=O)cc1,0.39705882352941174
[C][C][C][=C][Branch2][Ring1][=C][N][C][=Branch1][C][=O][C@@H1][Branch1][C][C][O][C][=Branch1][C][=O][C][C][Branch1][C][C][=C][C][=Branch1][C][=O][O][C][=Ring1][Branch2][C][O][N][=Ring2][Ring1][=Branch1],[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][N][Ring1][=Branch1][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][Branch1][C][C][=N][O][Ring1][=Branch1],0.8537370667940364,0.9416385818566879,Cc1cc(NC(=O)[C@@H](C)OC(=O)c2c(C)cc(=O)oc2C)on1,Cc1ccc2c(c1)CCN2[C@@H](C)C(=O)Nc1cc(C)no1,0.390625
[C][C@@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2],[C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=N][N][C][=Branch1][C][=O][C][C][C][C][C][Ring1][Ring2][C][=C][Ring1][=C],0.7188773680055651,0.836141489193646,C[C@@H](CC(=O)[O-])CC(=O)Nc1ccc(C(=O)[O-])cc1,CC(C)CC(=O)Nc1ccc(NC(=O)CC2CCC2)cc1,0.41304347826086957
[N][#C][C][=C][C][=C][Branch2][Ring1][Ring1][C][NH1+1][Branch1][#Branch2][C][C][C][C][NH2+1][C][C][Ring1][=Branch1][C][C][C][Ring1][Ring1][C][Branch1][C][F][=C][Ring2][Ring1][Ring1],[N][#C][C][=C][C][=C][Branch2][Ring1][C][C][NH1+1][C][C][C][C][C@H1][Ring1][=Branch1][C][N][C][=N][C][=N][Ring1][Branch1][C][Branch1][C][F][=C][Ring2][Ring1][Ring2],0.8000406615404879,0.9135145570605863,N#Cc1ccc(C[NH+](CC2CC[NH2+]CC2)C2CC2)c(F)c1,N#Cc1ccc(C[NH+]2CCCC[C@H]2Cn2cncn2)c(F)c1,0.35294117647058826
[O][=C][Branch1][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][N][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][N],[O][=C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][N][C][C][C][C@@H1][Ring1][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],0.8566804698895505,0.9432243360939517,O=C(COc1ccccc1)N1CCN(C2CCCCC2)CC1,O=C(c1ccccc1O)N1CCC[C@@H]1COc1ccccc1,0.38181818181818183
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][Branch1][O][C][=Branch1][C][=O][N][Branch1][C][C][O][C][=C][Ring1][N],[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@@H1][Branch1][C][C][S][Branch1][C][C][=Branch1][C][=O][=O],0.8069053933430145,0.8752577997318925,COc1ccccc1NS(=O)(=O)c1cccc(C(=O)N(C)OC)c1,COc1ccccc1NC(=O)[C@@H](C)S(C)(=O)=O,0.38181818181818183
[C][O][C][=C][C][=C][C][Branch2][Ring1][O][C][N][C][=Branch1][C][=O][C][C][=C][Branch1][C][C][N][Branch1][Branch2][C][C][NH1+1][Branch1][C][C][C][C][=Ring1][O][C][=C][Ring2][Ring1][=Branch1],[C][C][O][C][=C][C][=C][C][Branch1][S][C][N][C][=Branch1][C][=O][C][=C][C][=C][NH1][C][Ring1][=Branch1][=O][=C][Ring1][P],0.8010607116176788,0.8699628223952877,COc1cccc(CNC(=O)c2cc(C)n(CC[NH+](C)C)c2C)c1,CCOc1cccc(CNC(=O)c2ccc[nH]c2=O)c1,0.4
[C][C@H1][C][C][C][C@][Ring1][Branch1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1],[C][C@@H1][C][C@H1][Ring1][Ring1][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1],0.7881549450990917,0.8637872121309096,C[C@H]1CCC[C@]1(C(=O)[O-])c1ccc2c(c1)OCO2,C[C@@H]1C[C@H]1C(=O)NCc1ccc2c(c1)OCO2,0.38181818181818183
[C][C][C@H1][Branch2][Ring1][N][N][C][=Branch1][C][=O][C][C][C][N][C][=Branch1][C][=O][N][C][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C][Ring1][#Branch2][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1],[O][=C][N][C][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C][=Branch1][C][=O][N][Ring1][#Branch2][C][C][=C][C][=C][Branch1][C][Br][S][Ring1][=Branch1],0.722586373893419,0.8484459974426086,CC[C@H](NC(=O)CCCN1C(=O)NC2(CCCC2)C1=O)c1ccc(C)cc1,O=C1NC2(CCCC2)C(=O)N1Cc1ccc(Br)s1,0.3559322033898305
[C][C][=C][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][N][C][=N][C][=C][C][=C][Ring1][=Branch1][C][C][=C][Ring2][Ring1][Ring2],[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][S@][=Branch1][C][=O][C][=N][C][=C][C][=C][Ring1][=Branch1][Cl],0.8559194225758693,0.9193856400983242,Cc1ccc(C(=O)CCC(=O)Nc2ncccc2C)cc1,Cc1ccccc1NC(=O)CC[S@](=O)c1ncccc1Cl,0.40350877192982454
[C][C][=C][C][=C][Branch2][Ring1][#Branch2][N][C][C][C@@H1][Branch1][S][N][C][=Branch1][C][=O][N][C][C][N][C][=C][C][=C][Ring1][Branch1][C][Ring1][S][=O][C][=C][Ring2][Ring1][#Branch1],[C][C][=C][C][=C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][N][C@H1][C][C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][O][=O][C][=C][Ring2][Ring1][Branch1][C],0.8811872185720604,0.9476409065313295,Cc1ccc(N2CC[C@@H](NC(=O)NCCn3cccc3)C2=O)cc1,Cc1ccc(C(=O)N[C@H]2CCN(c3ccccc3)C2=O)cc1C,0.4666666666666667
[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][C][O][C@@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][Ring1][#Branch2],[C][C][C][C@@H1][C][N][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][C][C][C][Branch1][C][C][=N][N][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Ring1][#Branch2][C][C][C][O][Ring2][Ring1][Ring2],0.6535106845027638,0.8092120861440256,CCN(CC)C(=O)N1CCO[C@@H](CC(=O)[O-])C1,CCC[C@@H]1CN(C(=O)Cc2c(C)nn(CC(C)C)c2C)CCO1,0.3548387096774194
[C][C][C][=C][Branch2][Ring1][Ring1][N][C][=Branch1][C][=O][C][=Branch1][C][=O][N][C][C][=C][C][=C][S][Ring1][Branch1][N][Branch1][C][C][N][=Ring2][Ring1][C],[C][O][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][C][N][C][=Branch1][C][=O][N][C][=C][C][Branch1][C][C][=N][N][Ring1][=Branch1][C],0.8238069944241201,0.8882821505573759,Cc1cc(NC(=O)C(=O)NCc2cccs2)n(C)n1,COc1ccc(Br)cc1CNC(=O)Nc1cc(C)nn1C,0.4098360655737705
[C][C@@H1][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C@H1][Branch1][C][C][C@@H1][Branch1][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],[C][C@H1][Branch1][S][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Br][C][=C][C][=C][C][Branch1][Ring1][C][#N][=C][Ring1][Branch2],0.7976203184380635,0.919450550369889,C[C@H]([C@@H](C)O)S(=O)(=O)CCC(=O)N[C@H](C)c1ccccc1,C[C@H](NC(=O)Cc1ccccc1Br)c1cccc(C#N)c1,0.3508771929824561
[C][C][=N][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=Branch1][C][=O][N][C][C][N][C][=Branch1][=C][=N][N][=C][Ring1][Branch1][C][Branch1][C][F][Branch1][C][F][F][C][Ring1][=N],[C][C@@][Branch1][C][N][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][N][=C][Ring1][=Branch1][N][C][C][C][C][Ring1][Branch1][C][Branch1][C][F][Branch1][C][F][F],0.7709337149389528,0.8943664757206424,Cc1ncccc1NC(=O)C(=O)N1CCn2c(nnc2C(F)(F)F)C1,C[C@@](N)(C(=O)Nc1cccnc1N1CCCC1)C(F)(F)F,0.3582089552238806
[C][C][Branch1][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][C][N][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][=C][Ring2][Ring1][Ring1],[C][C@H1][Branch1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=N][C][=Branch1][C][=O][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][=C],0.7238482811239003,0.8798169683532513,CC(C)NC(=O)c1ccc(NCC(=O)NCc2ccccc2F)cc1,C[C@H](Cc1ccccc1F)C(=O)Nc1ccc(C(=O)N2CCOCC2)cc1,0.36363636363636365
[C][C][S][C][=N][C][=N][C][Branch1][=N][N][C][C][C][C][N][C][=N][N][=C][Ring1][Branch1][=C][Ring1][S][C][=Ring2][Ring1][Ring1][C],[C][C][C][=C][Branch2][Ring1][=N][C][C@@H1][C][O][C][C@@H1][Ring1][Branch1][N][C][=N][C][=N][C][S][C][Branch1][C][C][=C][Branch1][C][C][C][Ring1][O][=Ring1][#Branch1][O][N][=Ring2][Ring1][#Branch1],0.7091044368638078,0.782925419219074,Cc1sc2ncnc(NCCCCn3cnnc3)c2c1C,Cc1cc(C[C@@H]2COC[C@@H]2Nc2ncnc3sc(C)c(C)c23)on1,0.3939393939393939
[C][C][=C][C][=C][Branch2][Ring1][S][N][C][=Branch1][C][=O][C][S][C@H1][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Ring1][Branch2][F][C][=C][Ring2][Ring1][=Branch2],[C][C][=N][O][C][Branch1][C][C][=C][Ring1][=Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Ring1][Branch2][F],0.7394964616565901,0.8812887137348233,Cc1ccc(NC(=O)CS[C@H](C)C(=O)Nc2ccc(F)c(F)c2F)cc1,Cc1noc(C)c1CCC(=O)Nc1ccc(F)c(F)c1F,0.3770491803278688
[O][=C][Branch1][C][O-1][C@@H1][C][C][C][N][Branch1][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#C],[C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][P][N][C][=Branch1][C][=O][N][C][C][C][Branch1][C][C][C][C][Ring1][#Branch1][C][=C][Ring1][S],0.8348889683085388,0.9332116254632938,O=C([O-])[C@@H]1CCCN(C(=O)Nc2ccccc2)C1,CCS(=O)(=O)c1ccc(NC(=O)N2CCC(C)CC2)cc1,0.38461538461538464
[C][C][Branch1][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][C][N][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][=C][Ring2][Ring1][Ring1],[C][C][C@@H1][Branch1][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][S][N][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][P],0.7238482811239003,0.8206624921678425,CC(C)NC(=O)c1ccc(NCC(=O)NCc2ccccc2F)cc1,CC[C@@H](C)NC(=O)c1ccc(NC(=O)COc2ccccc2)cc1,0.3770491803278688
